name,parent_name,common_point_x,common_point_y,common_point_z,common_point_parent_x,common_point_parent_y,common_point_parent_z,notes,tx,ty,tz,rotation,scale,reg_metric
FO-20-129_lung_left_upper_lobe_VOI-01.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1666.0,1597.0,1967.0,1636.0,2175.0,1180.0,,1833.404267630211,2265.140348013723,980.0712701665108,-165.00831473794855,0.08791827824040531,-0.23473810245523435
FO-20-129_lung_left_upper_lobe_VOI-01.2b_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,2033.0,1613.0,2356.0,2441.0,2189.0,1145.0,Bad common point (full-organ is just noise?),2264.3702567244,2043.601581619215,938.2343317392903,-1.2000736566974117,0.0879208814000593,-0.21580758865295602
FO-20-129_lung_left_upper_lobe_VOI-01_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,1490.0,1597.0,2830.0,1960.0,2128.0,869.0,,1623.5023552658643,1735.7584064956043,193.41711435433322,-2.2999924564564536,0.23654188617292649,-0.3131210509467263
FO-20-129_lung_left_upper_lobe_VOI-02.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2830.0,1531.0,9495.0,1439.0,1849.0,4582.0,,1199.8460767456922,1729.1126260428284,3784.0994369230298,1.7002339252181466,0.08415481376670611,-0.1930881698504742
FO-20-129_lung_left_upper_lobe_VOI-02_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2269.0,2991.0,6776.0,737.0,1940.0,4508.0,,193.58666240923017,1234.2607359019505,2905.5950432867326,0.29988629662090655,0.23654284274186782,-0.39445009892020166
FO-20-129_lung_left_upper_lobe_VOI-03.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,2060.0,525.0,4458.0,1204.0,2418.0,3928.0,Bad common point,1017.8247403331533,2413.950942718377,3540.301275077064,13.099238504351522,0.08792124791047175,-0.39099456060996707
FO-20-129_lung_left_upper_lobe_VOI-03_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,1086.0,2706.0,1235.0,2112.0,1032.0,1360.0,,1891.594678389483,375.33228610622297,1065.0199111117088,-3.7001956896839436,0.23654075732673377,-0.1495357824794223
FO-20-129_lung_left_upper_lobe_VOI-03b-bis_2.2um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1687.0,303.0,4718.0,2342.0,687.0,4067.0,,2375.4328767530455,844.3322333528291,3637.8429092201754,120.40443320016492,0.0871281196033737,-0.028939446044594953
FO-20-129_lung_left_upper_lobe_VOI-04-bis_6.5um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1986.0,1200.0,1151.0,979.0,2560.0,3984.0,,470.2220740428672,2253.1366012619524,3686.5128412520685,-0.00012543938071924606,0.2574261579832114,-0.257534036905329
FO-20-129_lung_left_upper_lobe_VOI-04.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1645.0,3079.0,15127.0,653.0,1737.0,4898.0,,511.8966950877511,1462.1541977478028,3567.7332157785463,-1.1001302195652043,0.08792065738441676,-0.17588311480060953
FO-20-129_lung_left_upper_lobe_VOI-04_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2826.0,692.0,2022.0,1174.0,2245.0,3720.0,,508.2249463550199,2065.081133669733,3241.5104239988814,-1.2999575957739415,0.23654262453742209,-0.6926724233054062
FO-20-129_lung_left_upper_lobe_VOI-05.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,975.0,1602.0,25325.0,2165.0,1611.0,4332.0,,2081.6101979710515,1469.1879047474629,2105.8862750183807,-1.4000687136867085,0.08792103345587314,-0.25554133152679054
FO-20-129_lung_left_upper_lobe_VOI-05_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2011.0,1682.0,2887.0,703.0,728.0,2506.0,,228.7571882104245,325.3723505600049,1823.7779815695862,-0.29994279879601615,0.2365431762369693,-0.3021607680446213
FO-20-129_lung_left_upper_lobe_VOI-08.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,1798.0,1318.0,5517.0,2467.0,2524.0,5210.0,,2314.992478911939,2416.1086195268954,4745.34360608773,1.4003933631177048,0.0841546778674063,-0.25025416357545405
FO-20-129_lung_left_upper_lobe_VOI-09.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,860.0,1665.0,3446.0,1483.0,2085.0,5205.0,,1408.1398908173283,1947.8704541475638,4914.674111181368,1.2999887111627544,0.08415473962925389,-0.1750502971958724
FO-20-129_lung_left_upper_lobe_VOI-10.2_2.22um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,984.0,2645.0,2191.0,2334.0,1767.0,2466.0,,2244.479630636446,1547.4767113267762,2281.5652979889132,1.5999851079246186,0.08415474524759402,-0.2967681624979894
FO-20-129_lung_left_upper_lobe_VOI-aa-bis_2.2um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1817.0,867.0,1613.0,1214.0,2448.0,3836.0,,1054.7711984790283,2373.2285563270284,3695.439984008282,0.09990345920301429,0.08712882353307475,-0.3774665242088659
FO-20-129_lung_left_upper_lobe_VOI-aa_0.65um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,1680.0,2152.0,1972.0,1207.0,2520.0,4576.0,,,,,,,
FO-20-129_lung_left_upper_lobe_VOI-sx20_6.24um_bm05,FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,2510.0,3222.0,12601.0,1720.0,1259.0,4372.0,,1133.054974685774,493.4918368288356,1391.9476947790604,-0.5001013671389449,0.23654286045463202,-0.2625749904849849
LADAF-2020-27_heart_L-vent-muscle_2.22um_bm05,LADAF-2020-27_heart_complete-organ_25.08um_bm05,2468.0,3252.0,136.0,2788.0,2339.0,3558.0,,2625.230560497797,2018.327139631631,3543.9270523661153,-10.100117314518169,0.08851658498342181,-0.19857142532125677
LADAF-2020-27_heart_LR-vent-muscles-ramus-interventricularis-anterior_6.05um_bm05,LADAF-2020-27_heart_complete-organ_25.08um_bm05,1393.0,773.0,5253.0,3454.0,1781.0,4476.0,,3158.307749194994,1534.7162012185129,3207.91920800401,-10.699962832400786,0.2412283910535249,-0.4231252449895176
LADAF-2020-27_heart_ROI-01_6.5um_bm18,LADAF-2020-27_heart_complete-organ_19.89um_bm18,,,,,,,,,,,,,
LADAF-2020-27_heart_ROI-02_6.5um_bm18,LADAF-2020-27_heart_complete-organ_19.89um_bm18,,,,,,,,,,,,,
LADAF-2020-27_heart_ROI-03_6.5um_bm18,LADAF-2020-27_heart_complete-organ_19.89um_bm18,,,,,,,,,,,,,
LADAF-2020-27_kidney_left_central-column_1.29um_bm05,LADAF-2020-27_kidney_left_complete-organ_25.08um_bm05,1694.0,1275.0,2006.0,1445.0,1650.0,1582.0,,1358.7581609762292,1583.9033220599747,1478.4354567744151,-0.30017724258347417,0.05143543600034705,-0.11574326871446107
LADAF-2020-27_kidney_left_central-column_6.05um_bm05,LADAF-2020-27_kidney_left_complete-organ_25.08um_bm05,660.0,1032.0,2728.0,1174.0,1464.0,1566.0,,1015.647710639054,1216.3270767034828,906.143929656302,-0.09977031883926162,0.24122780183119433,-0.6383036357162171
LADAF-2020-27_lung_left_FSC-A_2.51um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,,,,,,,Small VOI taken for experimental method validation,,,,,,
LADAF-2020-27_lung_left_FSC-A_25.25um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,1181.0,999.0,45.0,2472.0,3118.0,7329.0,,3194.322834642573,4497.49188697764,7280.895671740009,157.90092205933524,1.0067750998131015,-0.36630744490363726
LADAF-2020-27_lung_left_FSC-A_6.5um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,,,,,,,Small VOI taken for experimental method validation,,,,,,
LADAF-2020-27_lung_left_FSC-B_2.51um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,,,,,,,Small VOI taken for experimental method validation,,,,,,
LADAF-2020-27_lung_left_FSC-B_25.25um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,1560.0,772.0,94.0,2032.0,3183.0,7376.0,,3102.9459944737982,4570.164580669598,7281.21648381264,154.00079118285254,1.0067785103184779,-0.1484297884152142
LADAF-2020-27_lung_left_FSC-B_6.5um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,,,,,,,Small VOI taken for experimental method validation,,,,,,
LADAF-2020-27_lung_left_VOI-01-upper-lobe-apical_2.45um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,2287.0,2144.0,2192.0,2528.0,2071.0,1710.0,,2318.4394144810663,1849.001817582029,1493.227518704038,-3.499779265959912,0.0976873880912458,-0.16913708218735618
LADAF-2020-27_lung_left_VOI-01-upper-lobe-apical_2.5um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,1748.0,2012.0,254.0,3705.0,2203.0,376.0,,3625.3920771345684,1948.5707416994328,347.7407668598542,-23.699895243590177,0.0996806794858343,-0.26409495259579663
LADAF-2020-27_lung_left_VOI-01-upper-lobe-apical_6.05um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,713.0,2095.0,710.0,2199.0,2074.0,1672.0,,2050.4009152973654,1562.2481331326685,1499.3408276283722,-2.5999893931395057,0.24122819239826837,-0.0924571809405516
LADAF-2020-27_lung_left_VOI-01-upper-lobe-apical_6.5um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,1747.0,2508.0,6446.0,3808.0,2731.0,1828.0,,3683.4860509207274,1949.9977717142096,150.82551854870755,-25.69996262028297,0.2591702109769531,-0.18100918602024077
LADAF-2020-27_lung_left_VOI-02-lower-lobe-basal_2.45um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,2736.0,2210.0,2240.0,2779.0,3490.0,6872.0,,2525.714584382665,3259.342468197947,6649.207402752265,-3.3998393636651034,0.0976873670295016,-0.2122994947718345
LADAF-2020-27_lung_left_VOI-02-lower-lobe-basal_6.05um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,1854.0,1428.0,264.0,2698.0,3336.0,6158.0,,2273.9599033501977,2963.392867775875,6091.85320403002,-3.7998070815716054,0.24122711555631404,-0.34416604622237046
LADAF-2020-27_lung_left_VOI-02b-upper-lobe-apical_2.5um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,456.0,2088.0,1784.0,2859.0,2112.0,926.0,,2923.6090655436055,1908.548498235083,744.0428868177607,-28.79680309971943,0.09968116160161132,-0.34472485290752364
LADAF-2020-27_lung_left_VOI-02b-upper-lobe-medial_6.5um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,2656.0,1419.0,3114.0,3443.0,2344.0,3572.0,,2979.8757026413214,1717.4569985735593,2763.836988294414,-25.499767388683257,0.2591709833336518,-0.25271532637946675
LADAF-2020-27_lung_left_VOI-03-upper-lobe-apical_2.5um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,2044.0,1864.0,1948.0,2497.0,1996.0,1648.0,,2386.5525436214675,1745.4266980574525,1453.3215202263639,-24.30008115409863,0.09968114239895809,-0.47937995333050804
LADAF-2020-27_lung_left_VOI-03_6.5um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,2362.0,1558.0,821.0,3299.0,3061.0,3787.0,,2910.515137915296,2439.2247790457427,3574.6481032908587,-24.500060035971305,0.2591706988583556,-0.6014810809983848
